{'Crawlling_time': '2024-01-22 13:12:52', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:53', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:54', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:54', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:56', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:57', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:58', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:12:58', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:13:01', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
{'Crawlling_time': '2024-01-22 13:13:03', 'id_project': 'Data Intelligence', 'id': 1440739101, 'project': 'data review', 'source_name': 'www.appsapk.com', 'total_data': 0, 'total_success': 0, 'total_failed': 0, 'status': 'done', 'assign': 'Rio'}
